               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.019345,           0.0086396,                   0,             0.95025,             0.95608,             0.98235,             0.76711,            0.013182,           0.0035147,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.016145,           0.0072798,                   0,              0.9603,             0.95378,             0.98255,             0.76139,            0.013365,           0.0036313,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.019383,           0.0087016,                   0,              0.9522,             0.95669,             0.98155,             0.76284,            0.013404,           0.0035293,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.018895,           0.0084513,                   0,             0.94548,              0.9545,             0.98155,             0.76427,            0.013269,           0.0034846,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.018774,           0.0085324,                   0,             0.94379,             0.96613,             0.98223,              0.7633,            0.013195,           0.0034804,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.018904,           0.0083149,                   0,             0.94699,             0.95349,              0.9814,             0.76604,            0.013161,           0.0034759,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.018598,           0.0083654,                   0,              0.9383,             0.96098,              0.9815,             0.76737,            0.013106,           0.0034855,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.018403,           0.0084124,                   0,              0.9415,             0.96013,             0.98201,             0.76699,            0.013123,           0.0034666,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.018251,           0.0083409,                   0,              0.9505,             0.95136,             0.98278,             0.76826,            0.013033,           0.0034436,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.018062,           0.0082495,                   0,             0.94972,             0.95502,             0.98178,             0.76457,            0.013024,           0.0034695,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.017772,           0.0080662,                   0,             0.94615,             0.96006,             0.98182,             0.76839,            0.012974,           0.0034882,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.01787,           0.0081559,                   0,             0.95334,              0.9545,             0.98249,             0.76854,            0.012893,           0.0034765,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.017953,           0.0081616,                   0,             0.95504,             0.94894,             0.98217,             0.77005,            0.012848,           0.0034548,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.017431,           0.0079131,                   0,             0.94298,              0.9636,             0.98244,             0.77144,            0.012842,            0.003463,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.017709,           0.0079431,                   0,             0.94604,             0.96309,             0.98095,             0.77183,            0.012766,           0.0034425,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.017337,           0.0078763,                   0,             0.94362,             0.96454,             0.98137,             0.77376,            0.012735,           0.0034711,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.017408,           0.0079674,                   0,             0.94324,              0.9636,             0.98162,             0.77564,            0.012725,           0.0034596,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.017294,           0.0078029,                   0,              0.9443,             0.95996,             0.98138,             0.77612,             0.01265,           0.0034491,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.015049,           0.0069079,                   0,             0.94765,              0.9609,             0.98117,             0.77806,             0.01266,           0.0034924,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.015955,           0.0073221,                   0,             0.94886,             0.95753,             0.98177,             0.77792,            0.012654,           0.0035027,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.015511,            0.007128,                   0,             0.95919,             0.94793,             0.98157,             0.77665,            0.012638,           0.0035054,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.015418,           0.0071857,                   0,              0.9607,              0.9459,             0.98218,             0.77761,            0.012638,           0.0035066,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.015524,           0.0070306,                   0,             0.95405,             0.95513,             0.98231,             0.77955,            0.012621,           0.0035117,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.015279,           0.0070439,                   0,             0.95239,             0.96073,             0.98321,              0.7791,            0.012642,            0.003512,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.015141,           0.0070819,                   0,             0.94883,              0.9655,             0.98341,             0.77842,             0.01266,           0.0035142,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.014985,           0.0070702,                   0,              0.9476,             0.96562,             0.98293,             0.77786,            0.012663,           0.0035065,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.014888,           0.0069887,                   0,             0.95207,             0.96208,             0.98259,             0.77864,             0.01264,           0.0035128,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.014546,           0.0067941,                   0,             0.95262,             0.96208,              0.9826,             0.77683,            0.012625,           0.0035304,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.014664,           0.0068904,                   0,             0.95574,             0.96079,              0.9827,             0.77861,            0.012605,           0.0035317,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.014664,           0.0068907,                   0,             0.95659,             0.95753,             0.98124,             0.77915,            0.012604,           0.0035332,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.014344,           0.0067026,                   0,             0.95518,             0.95894,             0.98183,             0.77913,            0.012602,           0.0035369,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.014545,           0.0067659,                   0,             0.95182,             0.96057,              0.9808,             0.77825,            0.012573,           0.0035375,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.014206,           0.0067239,                   0,             0.95227,             0.96107,              0.9809,             0.77912,            0.012554,           0.0035452,                   0,            0.000298,            0.000298,            0.000298
